Q,A
게 볼 수 있다,게 볼 수 있습니다
대한 구성원의 인식이다,대한 구성원의 인식입니다
 교사의 인정으로 대해 줄 것을 제안하였다, 교사의 인정으로 대해 줄 것을 제안하였습니다
의 가설이 유의하게 지지되었다,의 가설이 유의하게 지지되었습니다
와 활용의 환경을 제시해 주는 것은 아니다,와 활용의 환경을 제시해 주는 것은 아닙니다
동공급 탄력성을 고려하는 것이 쉽지 않다,동공급 탄력성을 고려하는 것이 쉽지 않습니다
를 사용하였다,를 사용하였습니다
실시되었다,실시되었습니다
 사실에는 이견이 없다, 사실에는 이견이 없습니다
하락하면 주택에 대한 수요가 증가한다,하락하면 주택에 대한 수요가 증가합니다
여 원천징수를 하지 않게 되었다,여 원천징수를 하지 않게 되었습니다
수준을 유지한다,수준을 유지합니다
대 등 노동시장이 과거보다 유연해진 덕분이다,대 등 노동시장이 과거보다 유연해진 덕분입니다
으로 나누려 하는 동영상이 있다,으로 나누려 하는 동영상이 있습니다
헌을 검토하는 것이 필요하다,헌을 검토하는 것이 필요합니다
분이다,분입니다
 비율도 182로 높았다, 비율도 182로 높았습니다
입을 시도하였었다,입을 시도하였었습니다
향에서 벗어나게 될 것이다,향에서 벗어나게 될 것입니다
다는 회의적인 입장도 없지 않다,다는 회의적인 입장도 없지 않습니다
는 음반 매장이다,는 음반 매장입니다
 시범 운영의 검토도 필요할 수 있다, 시범 운영의 검토도 필요할 수 있습니다
었다,었습니다
수 없는 것들에 대해 살펴보겠다,수 없는 것들에 대해 살펴보겠습니다
 영상 작업이 활발하게 진행되기 시작했다, 영상 작업이 활발하게 진행되기 시작했습니다
달러를 만들 수 있는 방법은 몇 가지일까,달러를 만들 수 있는 방법은 몇 가지일까
내세운다,내세운입니다
국대전주해를 지칭한 것이다,국대전주해를 지칭한 것입니다
 손금산입을 허용하지 않는 것이 타당하다, 손금산입을 허용하지 않는 것이 타당합니다
가가치 규모 역시 정체되고 있다,가가치 규모 역시 정체되고 있습니다
과의 상의만으로 처리되었다,과의 상의만으로 처리되었습니다
,다
포함된 문장이다,포함된 문장입니다
다,니다
 질 수 있다, 질 수 있습니다
 살펴보고자 한다, 살펴보고자 합니다
논의되는 맥락에 대하여 검토해 보고자 한다,논의되는 맥락에 대하여 검토해 보고자 합니다
명 아니다,명 아닙니다
의미의 행위 단일성을 이룬다,의미의 행위 단일성을 이룹니다
 된 역할 모델을 할 수 없는 현실이다, 된 역할 모델을 할 수 없는 현실입니다
고 새롭게 해석하였다,고 새롭게 해석하였습니다
지 진동수의 소리를 들을 수 있다,지 진동수의 소리를 들을 수 있습니다
이한 특징을 가지고 있다,이한 특징을 가지고 있습니다
가로 구분하였다,가로 구분하였습니다
면이다,면입니다
고 불리기도 한다,고 불리기도 합니다
과실책임이다,과실책임입니다
계가 존재하지 아니한다,계가 존재하지 아니합니다
의 방법론을 토대로 측정하였다,의 방법론을 토대로 측정하였습니다
되는 삼차원적인 너비나 공간이 아니다,되는 삼차원적인 너비나 공간이 아닙니다
 나온 방사선에 피폭당했다, 나온 방사선에 피폭당했습니다
같다,같습니다
미를 갖는다,미를 갖습니다
두 연결되어 있다,두 연결되어 있습니다
적인 변인도 동시에 고려되어야 할 것이다,적인 변인도 동시에 고려되어야 할 것입니다
후속 작업이 가지는 의미가 매우 크다,후속 작업이 가지는 의미가 매우 큽니다
폭 확충하였다,폭 확충하였습니다
당하는 금액 이하의 벌금에 처해질 수 있다,당하는 금액 이하의 벌금에 처해질 수 있습니다
 아니하다, 아니합니다
낳았다는 비판을 가한다,낳았다는 비판을 가합니다
완수사 요구에 따를 의무가 있다,완수사 요구에 따를 의무가 있습니다
 문제가 취약한 것으로 지적받고 있다, 문제가 취약한 것으로 지적받고 있습니다
따라 달라질 수 있다,따라 달라질 수 있습니다
하게 발생한다,하게 발생합니다
동이 이루어 짐을 볼 수 있다,동이 이루어 짐을 볼 수 있습니다
든 어려움에 의해 오랫동안 막혀 있었다,든 어려움에 의해 오랫동안 막혀 있었습니다
 긍정하고 있다, 긍정하고 있습니다
리 재촉한다,리 재촉합니다
어지는 민속춤으로 크게 나뉘어 전승되어 왔다,어지는 민속춤으로 크게 나뉘어 전승되어 왔습니다
의 변화가 점점 더 매끄러워진다,의 변화가 점점 더 매끄러워집니다
범 성립도 가능하다,범 성립도 가능합니다
로 말할 수는 없다,로 말할 수는 없습니다
이다,입니다
사회적 인식 수준과 비례한다,사회적 인식 수준과 비례합니다
지 못한 측면이 있다,지 못한 측면이 있습니다
로 보인다,로 보입니다
사람들이 사는 나라라고 단정했다,사람들이 사는 나라라고 단정했습니다
 제도개선은 특수 목적형 ISA의 도입이다, 제도개선은 특수 목적형 ISA의 도입입니다
다시 투자 활성화와 고용 증가로 이어진다,다시 투자 활성화와 고용 증가로 이어집니다
수익이 아니라는 것이다,수익이 아니라는 것입니다
로 맞물려 있다,로 맞물려 있습니다
전과제를 많이 던져줄 것이 명백해 보인다,전과제를 많이 던져줄 것이 명백해 보입니다
게 예감케 하는 효과를 발휘한다,게 예감케 하는 효과를 발휘합니다
의 흐름에 비추어 타당한 해석으로 생각한다,의 흐름에 비추어 타당한 해석으로 생각합니다
에 B부분의 도약적인 모티브가 끼어든다,에 B부분의 도약적인 모티브가 끼어듭니다
구체적으로 규정되어야 할 것이다,구체적으로 규정되어야 할 것입니다
이 비교적 뚜렷하였다고 할 수 있다,이 비교적 뚜렷하였다고 할 수 있습니다
 예상보다 많이 걷힐 것으로 예상되고 있다, 예상보다 많이 걷힐 것으로 예상되고 있습니다
년까지 다소간 상승한 후 하락한다,년까지 다소간 상승한 후 하락합니다
 것보다 훨씬 잘 이해하고 있다, 것보다 훨씬 잘 이해하고 있습니다
선하증권을 발행한 바 없다,선하증권을 발행한 바 없습니다
자녀를 통제하기 위한 힘의 회복이다,자녀를 통제하기 위한 힘의 회복입니다
가 있고 2년제로 운영하는 것이 적절하다,가 있고 2년제로 운영하는 것이 적절합니다
 깨는 것은 매우 어렵다, 깨는 것은 매우 어렵습니다
 소송을 제기하는 데 주저함이 없다, 소송을 제기하는 데 주저함이 없습니다
비판이 꼭 나온다,비판이 꼭 나옵니다
업 창업의 고용 창출 효과를 비교 분석하였다,업 창업의 고용 창출 효과를 비교 분석하였습니다
대해 살펴보았다,대해 살펴보았습니다
될 문제가 아니다,될 문제가 아닙니다
사용될 수 있는 환경을 제공할 수 있다,사용될 수 있는 환경을 제공할 수 있습니다
이 무엇인지 결정해야 했다,이 무엇인지 결정해야 했습니다
되어야 한다,되어야 합니다
호조치를 침해하거나 훼손하여서는 아니된다,호조치를 침해하거나 훼손하여서는 아니됩니다
으로 던졌다,으로 던졌습니다
 있다는 비판이 있었다, 있다는 비판이 있었습니다
 양심은 동정심이라는 본능에 기인한다, 양심은 동정심이라는 본능에 기인합니다
들에게 불리하지 않은 내용을 담고 있었다,들에게 불리하지 않은 내용을 담고 있었습니다
 달러로 역시 전년 대비 141 증가했다, 달러로 역시 전년 대비 141 증가했습니다
하는 것은 다음과 같다,하는 것은 다음과 같습니다
구할 수 있도록 지원해 줄 필요가 있다,구할 수 있도록 지원해 줄 필요가 있습니다
석의 결과라고 할 수 있다,석의 결과라고 할 수 있습니다
는 데 중점을 둔 전시이다,는 데 중점을 둔 전시입니다
간의 감각과 지각 경험은 확장될 수 있다,간의 감각과 지각 경험은 확장될 수 있습니다
주 유럽에서 발견되었다,주 유럽에서 발견되었습니다
 측면에서 재조명 할 필요성이 있다, 측면에서 재조명 할 필요성이 있습니다
지는 논란의 여지가 있다,지는 논란의 여지가 있습니다
 대상이 된다고 하였다, 대상이 된다고 하였습니다
이 쌓여갔다,이 쌓여갔습니다
화평법이 너무 과도한 규제를 한다는 것이다,화평법이 너무 과도한 규제를 한다는 것입니다
 가장 큰 영향을 받는 것으로 나타났다, 가장 큰 영향을 받는 것으로 나타났습니다
 번에 펜으로 완성한다, 번에 펜으로 완성합니다
미는 매우 강력한 공통점을 가진다,미는 매우 강력한 공통점을 가집니다
관여도라 할 수 있다,관여도라 할 수 있습니다
 안정적인 결과를 가져왔다, 안정적인 결과를 가져왔습니다
 해석한다, 해석합니다
차와 세부 주제를 종합적으로 분석하였다,차와 세부 주제를 종합적으로 분석하였습니다
이 허위 유치권 관련 사건이다,이 허위 유치권 관련 사건입니다
면 5연의 노래는 반대로 단음절적이다,면 5연의 노래는 반대로 단음절적입니다
 대법원장의 예에 따르도록 규정하고 있다, 대법원장의 예에 따르도록 규정하고 있습니다
준을 의미한다,준을 의미합니다
행사할 수 있다,행사할 수 있습니다
의식에서 추어진 춤이다,의식에서 추어진 춤입니다
 별개의 영역이다, 별개의 영역입니다
도구였음을 보고하고 있다,도구였음을 보고하고 있습니다
완화하고 조정한다는 데 있다,완화하고 조정한다는 데 있습니다
는 조직을 개편하였다,는 조직을 개편하였습니다
한 관계에서 협동할 수 있는 방법을 배운다,한 관계에서 협동할 수 있는 방법을 배운입니다
중 하나가 인권친화적 학교 환경의 조성이다,중 하나가 인권친화적 학교 환경의 조성입니다
것인가,것인가
롯한 규제정책을 잇달아 내놓고 있다,롯한 규제정책을 잇달아 내놓고 있습니다
 향해 매우 이기적인 주장을 펼쳤다, 향해 매우 이기적인 주장을 펼쳤습니다
이 있다,이 있습니다
의 사건이 포함되어있다,의 사건이 포함되어있습니다
의 통일된 실재처럼 관념화하여 서술하고 있다,의 통일된 실재처럼 관념화하여 서술하고 있습니다
 성과가 있었다, 성과가 있었습니다
행정적 이의를 해결하는 권한도 있다,행정적 이의를 해결하는 권한도 있습니다
에 도움이 되었다,에 도움이 되었습니다
력 결과는 개발 지원자들에 따라 다양하다,력 결과는 개발 지원자들에 따라 다양합니다
하는 데에도 큰 영향을 미칠 수 있다,하는 데에도 큰 영향을 미칠 수 있습니다
한 경향은 두드러진다,한 경향은 두드러집니다
의 역할을 잘 수행하는 정도를 의미한다,의 역할을 잘 수행하는 정도를 의미합니다
이가 있다,이가 있습니다
완벽하게 알고 있다,완벽하게 알고 있습니다
다 단점이 더 많다,다 단점이 더 많습니다
것이다,것입니다
 크기의 양  의 값이 나타난다, 크기의 양  의 값이 나타났습니다
토를 받았다,토를 받았습니다
 수 있을 것으로 생각하는 경향이 있다, 수 있을 것으로 생각하는 경향이 있습니다
참여가 지속적으로 높아지고 있다,참여가 지속적으로 높아지고 있습니다
 민요의 특징을 살려 노래하는 것이 좋다, 민요의 특징을 살려 노래하는 것이 좋습니다
때문에 고정된 이미지를 만들고 싶지 않았다,때문에 고정된 이미지를 만들고 싶지 않았습니다
표하지 않았다고 지적했다,표하지 않았다고 지적했습니다
뱅에서 재활용되는 닫힌 우주 개념을 배제했다,뱅에서 재활용되는 닫힌 우주 개념을 배제했습니다
고 기업가치와의 관련성을 분석하고자 한다,고 기업가치와의 관련성을 분석하고자 합니다
 같은 플라톤의 설명을 통해 유추할 수 있다, 같은 플라톤의 설명을 통해 유추할 수 있습니다
신뢰가 높아졌다,신뢰가 높아졌습니다
 하였고 연행에 있어서 백희가무를 하였다, 하였고 연행에 있어서 백희가무를 하였습니다
렬한 절대평화주의가 존재했다는 시각이 있다,렬한 절대평화주의가 존재했다는 시각이 있습니다
 하자, 합시다
 모습을 띠고 있다, 모습을 띠고 있습니다
송과 법원방문으로 업무처리하고 있다,송과 법원방문으로 업무처리하고 있습니다
과 함께 하는 항구성을 특징으로 한다,과 함께 하는 항구성을 특징으로 합니다
들 중에서 가장 큰 것의 가치라고 밝혔다,들 중에서 가장 큰 것의 가치라고 밝혔습니다
연 공연 연출로 한정이 되었다,연 공연 연출로 한정이 되었습니다
 특성을 거의 가지고 있지 않다, 특성을 거의 가지고 있지 않습니다
만 대한의사협회는 규제를 층층이 덧씌웠다,만 대한의사협회는 규제를 층층이 덧씌웠습니다
 준다, 줍니다
세계의 수치들과 관련된 연산이다,세계의 수치들과 관련된 연산입니다
권보장이라는 것을 염두에 두어야 할 것이다,권보장이라는 것을 염두에 두어야 할 것입니다
 중심으로 같이 공부 하도록 하겠다, 중심으로 같이 공부 하도록 하겠습니다
겨를이 없었다,겨를이 없었습니다
발하는 질문을 받았다,발하는 질문을 받았습니다
하는 경우 연합의 사적 유인을 살펴본다,하는 경우 연합의 사적 유인을 살펴봅니다
석우 연구를 참고하기 바란다,석우 연구를 참고하기 바랍니다
있다,있습니다
 아래로 확장되었다, 아래로 확장되었습니다
적인 것은 주요사항보고서에 공시하는 것이다,적인 것은 주요사항보고서에 공시하는 것입니다
드시 팀원 동료평가를 실시한다,드시 팀원 동료평가를 실시합니다
면이 들어 있다고 말한다,면이 들어 있다고 말합니다
있다,있습니다
파악한다,파악합니다
 아니었다, 아니었습니다
대해 법적 근거가 마련되었다,대해 법적 근거가 마련되었습니다
은 지역으로 측정되었다,은 지역으로 측정되었습니다
율을 유의하게 감소시킨다,율을 유의하게 감소시킵니다
율이 감소하고 미흡 비율은 증가하였다,율이 감소하고 미흡 비율은 증가하였습니다
있다고 평가할 수 있다,있다고 평가할 수 있습니다
를 이용한 지적장애진단이 이루어졌다,를 이용한 지적장애진단이 이루어졌습니다
에 따라 익금에 산입한다,에 따라 익금에 산입합니다
않고 1939년에 유럽으로 혼자 방문했다,않고 1939년에 유럽으로 혼자 방문했습니다
 대해 공감하고 있는 것 같다, 대해 공감하고 있는 것 같습니다
로 가장 높은 금액을 차지하였다,로 가장 높은 금액을 차지하였습니다
 역할 갈등이 더 심하였다, 역할 갈등이 더 심하였습니다
기 때문이다,기 때문입니다
소통을 통해서 파악하는데 활용되는이론이다,소통을 통해서 파악하는데 활용되는이론입니다
나무가 보수 도상으로 새롭게 유입된다,나무가 보수 도상으로 새롭게 유입됩니다
속에서 이들이 모두 함께 모이게 된 것이다,속에서 이들이 모두 함께 모이게 된 것입니다
성이 부합되어 추어지는 춤이다,성이 부합되어 추어지는 춤입니다
 유인 효과가 미미한 것으로 판단된다, 유인 효과가 미미한 것으로 판단됩니다
할 경우 판결문으로 공탁된 배당금을 회수한다,할 경우 판결문으로 공탁된 배당금을 회수합니다
이 부정되는 것은 아니다,이 부정되는 것은 아닙니다
 각각 사용되었다, 각각 사용되었습니다
는 일이 중요하다,는 일이 중요합니다
장하고 있다,장하고 있습니다
할 수 있다,할 수 있습니다
다는 것을 안다,다는 것을 압니다
 사례가 된다, 사례가 됩니다
지표 변수에 차이가 나타났다,지표 변수에 차이가 나타났습니다
자들께 죄송한 마음이 앞선다,자들께 죄송한 마음이 앞섭니다
폐집합이 아니다,폐집합이 아닙니다
 종종 발생하고 있다, 종종 발생하고 있습니다
의 의미와 가치가동일 하다고 볼 수 없다,의 의미와 가치가동일 하다고 볼 수 없습니다
 물이 한 일을 구한다, 물이 한 일을 구합니다
유롭기 때문에 더 자주 사용된다,유롭기 때문에 더 자주 사용됩니다
도드라지게 하는 데 사용된다,도드라지게 하는 데 사용됩니다
 흑자가 최근 빠르게 감소하고 있다, 흑자가 최근 빠르게 감소하고 있습니다
 수 있다, 수 있습니다
생일 뿐이다,생일 뿐입니다
은 거의 없을 것이다,은 거의 없을 것입니다
 용구와 직결되는 것은 아니다, 용구와 직결되는 것은 아닙니다
따라 삭제하여야 한다,따라 삭제하여야 합니다
을 본다면 또 다른 원인을 발견할 수 있다,을 본다면 또 다른 원인을 발견할 수 있습니다
하였다,하였습니다
이는 하나의 전략이 되기도 한다,이는 하나의 전략이 되기도 합니다
에 대한 경찰의 조치가 취해질 수 있다,에 대한 경찰의 조치가 취해질 수 있습니다
높은 진폭의 마루와 골의 모양으로 형성된다,높은 진폭의 마루와 골의 모양으로 형성됩니다
 규정을 두고 있지 않다, 규정을 두고 있지 않습니다
 관해서는 지금까지 논의된 바는 없다, 관해서는 지금까지 논의된 바는 없습니다
 없기 때문에 발생할 수 있다, 없기 때문에 발생할 수 있습니다
령의 연행 양상이 명확하게 나타난다,령의 연행 양상이 명확하게 나타났습니다
방 즉 일벌백계를 통한 위협이다,방 즉 일벌백계를 통한 위협입니다
된 의사 표현에 초점을 맞추고자 한다,된 의사 표현에 초점을 맞추고자 합니다
으로 볼 수 있기 때문이다,으로 볼 수 있기 때문입니다
및 현물시장 간의 가격 조작을 방지하였다,및 현물시장 간의 가격 조작을 방지하였습니다
5가지 질문을 한다,5가지 질문을 합니다
와 효과에서 상당한 차이가 있다,와 효과에서 상당한 차이가 있습니다
에 있다고 보고 있지 않는다,에 있다고 보고 있지 않습니다
기 선교사들의 노력의 결과였다,기 선교사들의 노력의 결과였습니다
지 않기 때문에 채권은 발생하지 않는다,지 않기 때문에 채권은 발생하지 않습니다
한다,합니다
이런 식으로 나타난다,이런 식으로 나타났습니다
 합자투자 회사보다는 완전소유 자회사이다, 합자투자 회사보다는 완전소유 자회사입니다
 자체이고 이 지식은 확장되었다, 자체이고 이 지식은 확장되었습니다
효과와 간접효과를 합해서 구했다,효과와 간접효과를 합해서 구했습니다
제곱 수로 이뤄진다는 걸 발견했다,제곱 수로 이뤄진다는 걸 발견했습니다
의 과징금 부과 규정을 두고 있다,의 과징금 부과 규정을 두고 있습니다
포함된다,포함됩니다
을 알 수 있었다,을 알 수 있었습니다
가까울수록 상관관계가 높다고 해석된다,가까울수록 상관관계가 높다고 해석됩니다
 나타내거나 표시 또는 상징하는 방식이다, 나타내거나 표시 또는 상징하는 방식입니다
으로 제재를 가한다는 의미가 있다,으로 제재를 가한다는 의미가 있습니다
값을 사용하였다,값을 사용하였습니다
시설이 필요하다,시설이 필요합니다
F를 유럽에 소개했다,F를 유럽에 소개했습니다
우에는 채권자가 소유권을 보유하여야 한다,우에는 채권자가 소유권을 보유하여야 합니다
을 향상시킬 수 있다,을 향상시킬 수 있습니다
시어터의 예술감독이다,시어터의 예술감독입니다
역사 영화가 상당히 선전하고 있다,역사 영화가 상당히 선전하고 있습니다
 생각된다, 생각됩니다
전체 3만 9천 171개소이다,전체 3만 9천 171개소입니다
돈관리 행동이 높게 나타났다,돈관리 행동이 높게 나타났습니다
 문제된다, 문제됩니다
 포커 도박에서 손을 뗀다,포커 도박에서 손을 뗀입니다
 51의 지분 보유의사를 표명하였다, 51의 지분 보유의사를 표명하였습니다
자료는 2005년에 대한 자료가 조사되었다,자료는 2005년에 대한 자료가 조사되었습니다
라 불리는 브뤼셀 규정이 존재한다,라 불리는 브뤼셀 규정이 존재합니다
득 가설의 검증과 유사한 측면을 가지고 있다,득 가설의 검증과 유사한 측면을 가지고 있습니다
적인 정책이라고 할 수 있다,적인 정책이라고 할 수 있습니다
로 명명하였다,로 명명하였습니다
구분하여 관리하도록 규정하고 있다,구분하여 관리하도록 규정하고 있습니다
 거두어 생산력도 증가되었다, 거두어 생산력도 증가되었습니다
간에 할 수 있다,간에 할 수 있습니다
 경우에도 자신을 옹호할 수 없다, 경우에도 자신을 옹호할 수 없습니다
범죄의 예방에 있다,범죄의 예방에 있습니다
평가하는 단계에서 이루어지는 연구이다,평가하는 단계에서 이루어지는 연구입니다
 흔적을 볼 수 있다, 흔적을 볼 수 있습니다
시지를 주도한다,시지를 주도합니다
도 포함될 필요가 있다,도 포함될 필요가 있습니다
공모주를 상대적으로 많이 배정받는다,공모주를 상대적으로 많이 배정받습니다
존법칙들은 일단 보류되어야 한다,존법칙들은 일단 보류되어야 합니다
씩 측정했다,씩 측정했습니다
 크며 수학 국어 순이다, 크며 수학 국어 순입니다
 50번 접는다, 50번 접는입니다
하여야 할 법적 과제도 존재한다,하여야 할 법적 과제도 존재합니다
소할 수 있는 것이 원칙이라고 볼 수도 있다,소할 수 있는 것이 원칙이라고 볼 수도 있습니다
직접 학교를 향상시키기 위해 참여하였다,직접 학교를 향상시키기 위해 참여하였습니다
는 가상 입자 덮개를 모은다,는 가상 입자 덮개를 모읍니다
 판결을 살펴보았다, 판결을 살펴보았습니다
 제2항의 예외로 보는 판례와 학설도 있다, 제2항의 예외로 보는 판례와 학설도 있습니다
어나는 결정을 한다고 하였다,어나는 결정을 한다고 하였습니다
로그램 갱신을 가능하게 한다,로그램 갱신을 가능하게 합니다
되 가상화폐라는 용어도 혼용하기로 한다,되 가상화폐라는 용어도 혼용하기로 합니다
분석이 실시되었다,분석이 실시되었습니다
수 없다,수 없습니다
발계수를 파악하기가 어렵다는 점이었 다,발계수를 파악하기가 어렵다는 점이었 입니다
 선의로 당해 반도체칩을 구매한 자를 말한다, 선의로 당해 반도체칩을 구매한 자를 말합니다
하기도 했다,하기도 했습니다
 같다, 같습니다
양한 분야에서 폭넓게 인용되고 있다,양한 분야에서 폭넓게 인용되고 있습니다
제 전체에 긍정적으로 작용할 수 있다,제 전체에 긍정적으로 작용할 수 있습니다
이 그중 하나이다,이 그중 하나입니다
다고 해도 과언이 아니다,다고 해주셔도 과언이 아닙니다
알아보자,알아봅시다
자만 하면 관리가 가능하다,자만 하면 관리가 가능합니다
 주주에게 경영간섭을 허용하는 것이다, 주주에게 경영간섭을 허용하는 것입니다
를 양보한다,를 양보합니다
레스를 더 많이 겪고 있다,레스를 더 많이 겪고 있습니다
 한다, 합니다
성장에도 광범위하게 기여했다,성장에도 광범위하게 기여했습니다
 재정건전성을 검토하는 과정이 필요하다, 재정건전성을 검토하는 과정이 필요합니다
미한다,미합니다
방법이라고 생각한다,방법이라고 생각합니다
 주고받는다, 주고받습니다
사이의 시간적 격차가 존재한다,사이의 시간적 격차가 존재합니다
의 그 일만큼이나 나쁘다,의 그 일만큼이나 나쁩니다
 차원의 평면요소를 표현할 것이다, 차원의 평면요소를 표현할 것입니다
수 있는 중재방법인가,수 있는 중재방법인가
북도 국악 실태 조사에 잘 나타나 있다,북도 국악 실태 조사에 잘 나타나 있습니다
차이가 없었다는 연구도 있다,차이가 없었다는 연구도 있습니다
말하는 경우가 많았다,말하는 경우가 많았습니다
상황에 직면하는 것으로 나타났다,상황에 직면하는 것으로 나타났습니다
였다,였습니다
기도 한다,기도 합니다
수업이 교사로서 부담감이 덜했다고 말하였다,수업이 교사로서 부담감이 덜했다고 말하였습니다
 설정하기에는 무리가 따른다, 설정하기에는 무리가 따릅니다
할만한 원천으로 간주된다,할만한 원천으로 간주됩니다
 알고리즘에 달라지는 것이다, 알고리즘에 달라지는 것입니다
연속성에 대한 인식에는 차이가 있었다,연속성에 대한 인식에는 차이가 있었습니다
 수 있는 국가인 것이다, 수 있는 국가인 것입니다
자 입자가 아니다,자 입자가 아닙니다
살롱에서 대안을 나누었다,살롱에서 대안을 나누었습니다
 제출하지 않았다, 제출하지 않았습니다
서 진행하는 것을 단기적 대안으로 삼고 있다,서 진행하는 것을 단기적 대안으로 삼고 있습니다
왔다,왔습니다
다,니다
 판례인  혼빙 2가 대표적 사례다, 판례인  혼빙 2가 대표적 사례입니다
트를 다루고 있다,트를 다루고 있습니다
 대학자치 그 자체의 법리이다, 대학자치 그 자체의 법리입니다
기능이 일시적으로 떨어진 상태다,기능이 일시적으로 떨어진 상태입니다
성 해소가 첫 손가락에 꼽힌다,성 해소가 첫 손가락에 꼽힙니다
감안하여 학생 A와 친근한 관계를 맺고 있다,감안하여 학생 A와 친근한 관계를 맺고 있습니다
 가지로 정리할 수 있다, 가지로 정리할 수 있습니다
관하여 존재한다,관하여 존재합니다
 수 있었다, 수 있었습니다
상당히 증가할 것으로 보인다,상당히 증가할 것으로 보입니다
식 개선을 위한 방안을 제시한다,식 개선을 위한 방안을 제시합니다
을 살펴보고자한다,을 살펴보고자합니다
계산하는 방식의 서명을 의미한다,계산하는 방식의 서명을 의미합니다
감소하는 추세를 보였다,감소하는 추세를 보였습니다
가는 질 관리의 중요한 수단이 된다,가는 질 관리의 중요한 수단이 됩니다
넘어져서 아무 데도 빨리 가지 못한다,넘어져서 아무 데도 빨리 가지 못합니다
 시선은 다르게 나타난다, 시선은 다르게 나타났습니다
월 15일까지 약 1개월에 걸쳐 진행되었다,월 15일까지 약 1개월에 걸쳐 진행되었습니다
 손해를 입었다는 점에서 차이가 없다, 손해를 입었다는 점에서 차이가 없습니다
 지원되는 복지관광정책이라할 수 있다, 지원되는 복지관광정책이라할 수 있습니다
피고에게 명시 설명하지 아니하였다,피고에게 명시 설명하지 아니하였습니다
레비 스트로스의 구조주의 인류학이다,레비 스트로스의 구조주의 인류학입니다
 기본권 줄여서 인권이라고 부른다, 기본권 줄여서 인권이라고 부릅니다
 않는 원칙으로 규정되어 있다, 않는 원칙으로 규정되어 있습니다
하는 것이 필요하다,하는 것이 필요합니다
 분양가를 낮추자 수만 명의 인파가 몰렸다, 분양가를 낮추자 수만 명의 인파가 몰렸습니다
이야기를 좀 더 발전시켜 본다,이야기를 좀 더 발전시켜 봅니다
