Q,A
구전커뮤니케이션의 조절효과를 확인하였다,구전커뮤니케이션의 조절효과를 확인하였습니다
로부터 30일 이내로 완화하고 있다,로부터 30일 이내로 완화하고 있습니다
응성을 추정하였다,응성을 추정하였습니다
있는 유일한 방법이다,있는 유일한 방법입니다
 사용되고 있다, 사용되고 있습니다
을 자유롭게 추구할 수 있어야 한다,을 자유롭게 추구할 수 있어야 합니다
 등록 정보의 변경 여부를 확인하여야 한다, 등록 정보의 변경 여부를 확인하여야 합니다
 행동을 야기한다, 행동을 야기합니다
는 것은 신뢰성에 문제점이 발생하였다,는 것은 신뢰성에 문제점이 발생하였습니다
책을 연관시켰다,책을 연관시켰습니다
속연구가 이루어져야 한다,속연구가 이루어져야 합니다
설 수도 있음을 의미한다,설 수도 있음을 의미합니다
 보다 엄격한 해석이 필요하다고 본다, 보다 엄격한 해석이 필요하다고 봅니다
된 자료의 기초적 통계정보를 정리한것이다,된 자료의 기초적 통계정보를 정리한것입니다
하여 금지 청구권을 행사하는 단체이다,하여 금지 청구권을 행사하는 단체입니다
에 존재한다,에 존재합니다
 발표하기 쉽지 않다, 발표하기 쉽지 않습니다
지 않았다,지 않았습니다
로 돌봄의무 위반과 과실을 판단했다,로 돌봄의무 위반과 과실을 판단했습니다
것이다,것입니다
는 유사성이 존재하여야 인정된다,는 유사성이 존재하여야 인정됩니다
위기로 직결될 수 있다는 것이다,위기로 직결될 수 있다는 것입니다
사항에 관련된 논의는 진행하지 않는다,사항에 관련된 논의는 진행하지 않습니다
기회가 될 것이다,기회가 될 것입니다
문으로 발견된 장소는 알려지지 않았다,문으로 발견된 장소는 알려지지 않았습니다
 임금의 복장과 분장으로 촬영을 마쳤다, 임금의 복장과 분장으로 촬영을 마쳤습니다
 지금도 이어지고 있다, 지금도 이어지고 있습니다
이 대중들의 관심을 끌게 하였다,이 대중들의 관심을 끌게 하였습니다
 새로운 관점으로 이어진다, 새로운 관점으로 이어집니다
 새로운 문화가 창조된다, 새로운 문화가 창조됩니다
교육을 강화하기 위한 대책 마련이 필요하다,교육을 강화하기 위한 대책 마련이 필요합니다
있음을 확인할 수 있었다,있음을 확인할 수 있었습니다
ntra 무드라mudra의 한역이다,ntra 무드라mudra의 한역입니다
생하는 것이었다,생하는 것이었습니다
로 구분되어 연구가 이루어지고 있다,로 구분되어 연구가 이루어지고 있습니다
타난다,타났습니다
파하고 탄핵주의와 구두주의 원칙을 정립하였다,파하고 탄핵주의와 구두주의 원칙을 정립하였습니다
에서 사망하였다,에서 사망하였습니다
적 비용들이 여기에 포함된다,적 비용들이 여기에 포함됩니다
 때문에 단사이다, 때문에 단사입니다
 분석되었다, 분석되었습니다
 있다고 할 수 있다, 있다고 할 수 있습니다
발생한 중대한 반인도적인 국가 범죄이다,발생한 중대한 반인도적인 국가 범죄입니다
체언어로 회기하기 때문이다,체언어로 회기하기 때문입니다
있는 것이 될 것이다,있는 것이 될 것입니다
기업들이다,기업들입니다
싶은 말을 직접적으로 남길 수 있다,싶은 말을 직접적으로 남길 수 있습니다
 감상자의마음속으로 전해 진다, 감상자의마음속으로 전해 집니다
를 위한 중요한 역할을 수행하고 있다,를 위한 중요한 역할을 수행하고 있습니다
기하는 것이 중요하다,기하는 것이 중요합니다
는 데 크게 도움을 주고 있다,는 데 크게 도움을 주고 있습니다
수자에게 보다 어려운 역할을 요구한다,수자에게 보다 어려운 역할을 요구합니다
한 법치주의에 속한다,한 법치주의에 속합니다
항은 의무의 실질적 부분 이라고 규정한다,항은 의무의 실질적 부분 이라고 규정합니다
동을 만들어야 한다고 주장하였다,동을 만들어야 한다고 주장하였습니다
의가 있는 때에는 그러하지 아니하다,의가 있는 때에는 그러하지 아니합니다
 된다, 됩니다
전략이라 할 수 있기 때문이다,전략이라 할 수 있기 때문입니다
 하고 있다, 하고 있습니다
 않는다는 인식을 나타내었다, 않는다는 인식을 나타내었습니다
른 기준에 의해 춤 정보가 제공되고 있다,른 기준에 의해 춤 정보가 제공되고 있습니다
의 중요성을 강조하는 토대를 만들었다고 본다,의 중요성을 강조하는 토대를 만들었다고 봅니다
이 커지게 되는 것이다,이 커지게 되는 것입니다
투입하여 순찰업무가 이루어지고 있다,투입하여 순찰업무가 이루어지고 있습니다
급 병가와 보편적 상병수당으로 구분된다,급 병가와 보편적 상병수당으로 구분됩니다
나 싶다,나 싶습니다
지 않은 연구물들이 발표되었다,지 않은 연구물들이 발표되었습니다
하여 저작권법에서 별도로 규정하지 않고 있다,하여 저작권법에서 별도로 규정하지 않고 있습니다
전 과정 경제주체가 함께 만나는 것이다,전 과정 경제주체가 함께 만나는 것입니다
역에 대한 결과를 보여주고 있다,역에 대한 결과를 보여주고 있습니다
콘도미니엄 등기소에 고지하여야 한다,콘도미니엄 등기소에 고지하여야 합니다
의 동의만이 문제로 될 수 있다고 해야 한다,의 동의만이 문제로 될 수 있다고 해야 합니다
로 판명되었다,로 판명되었습니다
받아야 한다는 것을 의미한다,받아야 한다는 것을 의미합니다
 대상 예술적인 대상의 구분을 초월한다, 대상 예술적인 대상의 구분을 초월합니다
는 것으로 나타났다,는 것으로 나타났습니다
 관하여 주의를 기울여야 한다, 관하여 주의를 기울여야 합니다
 있다고 생각한다, 있다고 생각합니다
총 3가지 범주로 구분하고 있다,총 3가지 범주로 구분하고 있습니다
농축되었음을 볼 수 있다,농축되었음을 볼 수 있습니다
 시정촌세 수입에서는 42를 차지한다, 시정촌세 수입에서는 42를 차지합니다
은 변수 모델의 가능성도 배제했다,은 변수 모델의 가능성도 배제했습니다
가는 가도 역시 중요한 관심사인 것이다,가는 가도 역시 중요한 관심사인 것입니다
 앞에서 점심시간에 진행되었다, 앞에서 점심시간에 진행되었습니다
유를 설명할 수 있어야 한다,유를 설명할 수 있어야 합니다
 데이터는 총 175개월 =199 24이다, 데이터는 총 175개월 =199 24입니다
는 기관들을 구체적으로 살펴보면 다음과 같다,는 기관들을 구체적으로 살펴보면 다음과 같습니다
아볼 수 있다,아볼 수 있습니다
있었다,있었습니다
선정하였다,선정하였습니다
근의 연구는 아직 없다,근의 연구는 아직 없습니다
하고자 출발하였다,하고자 출발하였습니다
다,습니다
 순위 규칙이 필요하다, 순위 규칙이 필요합니다
 대상이 되는 것을 막는 것을 목적으로 한다, 대상이 되는 것을 막는 것을 목적으로 합니다
리하기 위해 만들어졌다,리하기 위해 만들어졌습니다
목할 만하다,목할 만합니다
는 노선일 것이다,는 노선일 것입니다
고 느끼는 지지가 다르다는 것이다,고 느끼는 지지가 다르다는 것입니다
 중재가 효과가 있다, 중재가 효과가 있습니다
 변하고 있다, 변하고 있습니다
인의 인식에서 아직은 생소한 현상이다,인의 인식에서 아직은 생소한 현상입니다
금 확보에 유용하다고 할 수 있다,금 확보에 유용하다고 할 수 있습니다
,
않는 준 영구적인 것이다,않는 준 영구적인 것입니다
게 양도 후에는 매수인에게 귀속된다고 한다,게 양도 후에는 매수인에게 귀속된다고 합니다
 연구한 글로 노인 연령별 차별화 중심이다, 연구한 글로 노인 연령별 차별화 중심입니다
는 변화의 집합은 무엇으로 구성되는가,는 변화의 집합은 무엇으로 구성되는가
를 발생 시킨다,를 발생 시킵니다
 퇴보하고 있다, 퇴보하고 있습니다
에 되지 않는 짓은 하지 않는다,에 되지 않는 짓은 하지 않습니다
 쉽게 이해할 수 있다, 쉽게 이해할 수 있습니다
AA와 카타르 왕실의 관계는 끈끈하다,AA와 카타르 왕실의 관계는 끈끈합니다
를 취득하고 있다,를 취득하고 있습니다
서 비슷한 현상이 나타났다,서 비슷한 현상이 나타났습니다
되고 있다,되고 있습니다
 책임과 관련하여 중요한 의미를 갖는다, 책임과 관련하여 중요한 의미를 갖습니다
문제되었다,문제되었습니다
선발하였다,선발하였습니다
약한 모습에 길들여져 있는 것이다,약한 모습에 길들여져 있는 것입니다
이 크게 떨어진다,이 크게 떨어집니다
 마찬가지이다, 마찬가지입니다
나 철회 또는 폐기의결되었다,나 철회 또는 폐기의결되었습니다
 검토 결과와 함께 재송부하였다, 검토 결과와 함께 재송부하였습니다
더 심각해진다,더 심각해집니다
진다,집니다
들어 반송자신호의 진동수를 바꾼다,들어 반송자신호의 진동수를 바꾼입니다
 요구된다, 요구됩니다
 비효율적이라는 것은 널리 알려진 사실이다, 비효율적이라는 것은 널리 알려진 사실입니다
부과할 수 있다,부과할 수 있습니다
대하여 자율적인 결정을 할 수 있어야 한다,대하여 자율적인 결정을 할 수 있어야 합니다
겨 놓을 수 있는 전략은 무엇일까,겨 놓을 수 있는 전략은 무엇일까
환의 죄과 국가보안법 등이다,환의 죄과 국가보안법 등입니다
,다
합리성에 근거하여 업무를 수행하는 직업군이다,합리성에 근거하여 업무를 수행하는 직업군입니다
 강화법과 병존하는 농지 집적의 루트이다, 강화법과 병존하는 농지 집적의 루트입니다
 44조 원으로 26배 증가하였다, 44조 원으로 26배 증가하였습니다
것에 기반해야 한다,것에 기반해야 합니다
의 내용이나 품질에 맞추어져 있다,의 내용이나 품질에 맞추어져 있습니다
단일 법 집행 주체를 명확하게 할 수 없다,단일 법 집행 주체를 명확하게 할 수 없습니다
형성을 통한 외적 영향력 확대도 설명했다,형성을 통한 외적 영향력 확대도 설명했습니다
성이 지배한다,성이 지배합니다
언어를 제멋대로 바꾸거나 왜곡해서는 안 된다,언어를 제멋대로 바꾸거나 왜곡해서는 안 됩니다
 통해 공정하다, 통해 공정합니다
 동기는 외적 가치를 가지게 된다, 동기는 외적 가치를 가지게 됩니다
 수 있다, 수 있습니다
가를 중심으로 보고자 하였다,가를 중심으로 보고자 하였습니다
것을 생산해내는 마술적 능력으로 인식된다,것을 생산해내는 마술적 능력으로 인식됩니다
수 있었다,수 있었습니다
전제가 된다,전제가 됩니다
인적 역량을 강조한 추가 문헌도 있다,인적 역량을 강조한 추가 문헌도 있습니다
 밖 금융 전문가 캠프 등을 선호하였다, 밖 금융 전문가 캠프 등을 선호하였습니다
 기능을 수행하고 있다고 보는 견해도 있다, 기능을 수행하고 있다고 보는 견해도 있습니다
이미 병이 난 후에 치료한다,이미 병이 난 후에 치료합니다
 영향을 미친다, 영향을 미칩니다
서는 과세하지 않는다,서는 과세하지 않습니다
 점에서 진일보한 것이라 생각된다, 점에서 진일보한 것이라 생각됩니다
작업을 진행해 오고 있다,작업을 진행해 오고 있습니다
있다,있습니다
자의 감시만으로는 한계가 있다,자의 감시만으로는 한계가 있습니다
요한 기준이라 할 수 있다,요한 기준이라 할 수 있습니다
움으로 성립되었다고 해도 과언이 아니다,움으로 성립되었습니다고 해주셔도 과언이 아닙니다
 가능한 주택을 공급한다, 가능한 주택을 공급합니다
 회생 절차와 회생 절차는 후자에 해당된다, 회생 절차와 회생 절차는 후자에 해당됩니다
이해도를 제 시할 수 있다,이해도를 제 시할 수 있습니다
론에도 반영되어 있다,론에도 반영되어 있습니다
지가 없었다는 것이 제한점이다,지가 없었다는 것이 제한점입니다
표율사의 예에서도 찾아볼 수 있다,표율사의 예에서도 찾아볼 수 있습니다
T의 의미를 이해하게 되는 것이다,T의 의미를 이해하게 되는 것입니다
 중에서 검색 할 수 없다, 중에서 검색 할 수 없습니다
의 궤도반지름은 얼마인가,의 궤도반지름은 얼마인가
 관한 규정이다, 관한 규정입니다
 적용해보면 다음과 같다, 적용해보면 다음과 같습니다
 강제조치를 검토하고 분석할 것을 요구한다, 강제조치를 검토하고 분석할 것을 요구합니다
지가 있는 피의사실이 공표되는 경우가 있다,지가 있는 피의사실이 공표되는 경우가 있습니다
화학 공업 중심 육성 정책을 추진하였다,화학 공업 중심 육성 정책을 추진하였습니다
원칙이 적용될 수 있다,원칙이 적용될 수 있습니다
 위세를 직접 눈으로 확인하는 과정이었다, 위세를 직접 눈으로 확인하는 과정이었습니다
넘는 비교적 높은 수치가 나타났다,넘는 비교적 높은 수치가 나타났습니다
라는 것을 증명할 것 이다,라는 것을 증명할 것 입니다
 미칠 수 있기 때문이다, 미칠 수 있기 때문입니다
 취하고 있다, 취하고 있습니다
게 의미 있게 구성해 줄 것인가,게 의미 있게 구성해 줄 것인가
성하는 주요한 주체로 떠오른다,성하는 주요한 주체로 떠오릅니다
문이다,문입니다
다는 점이다,다는 점입니다
주민 참여가 중요하다,주민 참여가 중요합니다
 좋고 계산하기도 쉬운 양이다, 좋고 계산하기도 쉬운 양입니다
서의 무한원점에 대해서는 무너져 버린다,서의 무한원점에 대해서는 무너져 버립니다
 이유는 두 가지다, 이유는 두 가집니다
에서 유의한 차이가 없는 것으로 보여 진다,에서 유의한 차이가 없는 것으로 보여 집니다
책임이 없냐고 들이대고 있는 것만 같다,책임이 없냐고 들이대고 있는 것만 같습니다
수 있다,수 있습니다
고 있다,고 있습니다
수 없다,수 없습니다
하지 못하고 있는 실정이다,하지 못하고 있는 실정입니다
 있다, 있습니다
 점포 수에 대한 자료를 만들어서 이용하였다, 점포 수에 대한 자료를 만들어서 이용하였습니다
 이루어지지 않았다, 이루어지지 않았습니다
 관심이 뜨겁다, 관심이 뜨겁습니다
으로써 보다 간결하게 접근이 가능하다,으로써 보다 간결하게 접근이 가능합니다
개념이다,개념입니다
시하고 있다,시하고 있습니다
지가 끼어 있다,지가 끼어 있습니다
강조할 것이다,강조할 것입니다
출사를 결심하게 되었다,출사를 결심하게 되었습니다
이 요구된다,이 요구됩니다
들릴 수 있다,들릴 수 있습니다
다고 보았던 조영배의 이론과는 배치된다,다고 보았던 조영배의 이론과는 배치됩니다
활동 등을 자료 수집 방법으로 활용하였다,활동 등을 자료 수집 방법으로 활용하였습니다
 간주되어 크게 두 개의 집단으로 구분되었다, 간주되어 크게 두 개의 집단으로 구분되었습니다
의 내용 요소 전시 이론을 적용하였다,의 내용 요소 전시 이론을 적용하였습니다
신적인 교육방법을 의미한다,신적인 교육방법을 의미합니다
무소를 설립한 적이 거의 없었다,무소를 설립한 적이 거의 없었습니다
 행동에 관한 것이다, 행동에 관한 것입니다
 대해 의견과 해석을 내놓았다, 대해 의견과 해석을 내놓았습니다
며 집필 배경을 밝힌 바 있다,며 집필 배경을 밝힌 바 있습니다
라고 말했다,라고 말했습니다
조항의 성격을 가지고 있다고 본다,조항의 성격을 가지고 있다고 봅니다
및 프로젝트를 지원하고 있다고 한다,및 프로젝트를 지원하고 있다고 합니다
미칠 것이다,미칠 것입니다
는 경우 이는 사회적 행위이다,는 경우 이는 사회적 행위입니다
을 부려서 W라고 부르자,을 부려서 W라고 부르자
성을 공동으로 추구할 수 있었다,성을 공동으로 추구할 수 있었습니다
 다양한 형태의 무용 담론이 형성되었다, 다양한 형태의 무용 담론이 형성되었습니다
기되고 있다,기되고 있습니다
비해 크게 확대되었다,비해 크게 확대되었습니다
으로 예산을 편성할 수 없다,으로 예산을 편성할 수 없습니다
에서 자유롭다는 것을 의미한다,에서 자유롭다는 것을 의미합니다
시 이 점에서 공공성이 부각된다,시 이 점에서 공공성이 부각됩니다
기준에 부합하도록 할 것을 명시하였다,기준에 부합하도록 할 것을 명시하였습니다
 관측 이후에야 널리 받아 들여졌다, 관측 이후에야 널리 받아 들여졌습니다
출하고 있지 않고 있다,출하고 있지 않고 있습니다
 개발되고 있다, 개발되고 있습니다
국어 안내표지판이 도입되었다,국어 안내표지판이 도입되었습니다
 개선방안이 될 수 있다, 개선방안이 될 수 있습니다
용관계에서 나타나는 신뢰이다,용관계에서 나타나는 신뢰입니다
출가들 작품에는 아낌없이 투자를 한다,출가들 작품에는 아낌없이 투자를 합니다
한다,합니다
는 기초와 색조 화장품이 모두 포함된다,는 기초와 색조 화장품이 모두 포함됩니다
셈 구조에 관한 모든 정보를 알려준다,셈 구조에 관한 모든 정보를 알려줍니다
 권의 책으로 묶여 나올 만큼 왕성하다, 권의 책으로 묶여 나올 만큼 왕성합니다
할 필요가 있다,할 필요가 있습니다
미한다,미합니다
의 활용되지 않았다,의 활용되지 않았습니다
라고 보게 된다,라고 보게 됩니다
유연하게 해석하는 것이 합리적이다,유연하게 해석하는 것이 합리적입니다
에게도 적용되는가,에게도 적용되는가
되는 경우라면 어떻게 처리해야 하는가,되는 경우라면 어떻게 처리해야 하는가
로  전부 인용률은 78이다,로  전부 인용률은 78입니다
조하기 바란다,조하기 바랍니다
 있어 기초자료로 활용할 수 있을 것이다, 있어 기초자료로 활용할 수 있을 것입니다
를 반복한다,를 반복합니다
는 명령이 가능하다는 해석이 존재한다,는 명령이 가능하다는 해석이 존재합니다
성방안을 보고토록 지시하였다,성방안을 보고토록 지시하였습니다
 가정사안 미시사에도 영향을 준다, 가정사안 미시사에도 영향을 줍니다
식적 자료를 전혀 제공하기 않고 있다,식적 자료를 전혀 제공하기 않고 있습니다
 있다, 있습니다
력한다,력합니다
여 결과를 통보한다,여 결과를 통보합니다
도록 하자 적극적으로 활동하였다,도록 하자 적극적으로 활동하였습니다
 모을 수 있는 단원을 찾는 것이 중요하다, 모을 수 있는 단원을 찾는 것이 중요합니다
수 있을 것이다,수 있을 것입니다
 따라 제각각인 것도 문제다, 따라 제각각인 것도 문제입니다
mm 이하로 늘어난다,mm 이하로 늘어났습니다
입구가 배치된 점이 일단 유사하다,입구가 배치된 점이 일단 유사합니다
들과 같다,들과 같습니다
습 능력이 높게 나타난다고 할 수 있다,습 능력이 높게 나타난다고 할 수 있습니다
가진 이들에게도 확대되었다,가진 이들에게도 확대되었습니다
 위쪽이 잘 보이지 않는다, 위쪽이 잘 보이지 않습니다
검사비 등을 반환 청구하는 방법도 있다,검사비 등을 반환 청구하는 방법도 있습니다
곤화 가구주의 평균 연령이 더 높았다,곤화 가구주의 평균 연령이 더 높았습니다
에 따른 비만율 변화도 그릴 수 있다,에 따른 비만율 변화도 그릴 수 있습니다
 퇴직연금 손금산입제도이다, 퇴직연금 손금산입제도입니다
임 미술관에 초청되었다,임 미술관에 초청되었습니다
게 이루어지게 된다,게 이루어지게 됩니다
는 어느 당사자가 주장 구체화가 용이하다,는 어느 당사자가 주장 구체화가 용이합니다
을 가지고 있어 해석에 유의를 요한다,을 가지고 있어 해석에 유의를 요합니다
니라 공연자의 심리적 격정까지도 받아들인다,니라 공연자의 심리적 격정까지도 받아들입니다
규제체계는 보완적인 관계를 갖게 된다,규제체계는 보완적인 관계를 갖게 됩니다
 구식이었다,르게 구식이었습니다
 기초적 훈련을 받았다, 기초적 훈련을 받았습니다
가진다는 것을 알 수 있다,가진다는 것을 알 수 있습니다
가정한다,가정합니다
가진다고 선언하여 노동권을 보장하고 있다,가진다고 선언하여 노동권을 보장하고 있습니다
스피너 물체를 가지고 있다,스피너 물체를 가지고 있습니다
로 선고되고 있다,로 선고되고 있습니다
화폐를 Green Dollar라고 불렀다,화폐를 Green Dollar라고 불렀습니다
빨라지게 된다,빨라지게 됩니다
 애착을 의미한다, 애착을 의미합니다
 평가기준과는 상당한 차이를 보이고 있다, 평가기준과는 상당한 차이를 보이고 있습니다
 방식으로 움직인다, 방식으로 움직입니다
INs Q를 사용하였다,INs Q를 사용하였습니다
있다,있습니다
대립하여 왔다,대립하여 왔습니다
의미는 다음과 같다,의미는 다음과 같습니다
해되거나 훼손되어서는 안될 것이다,해되거나 훼손되어서는 안될 것입니다
으로도 변화를 가져왔다,으로도 변화를 가져왔습니다
 2배 증가하였다, 2배 증가하였습니다
희담 등이 있다,희담 등이 있습니다
 정당하고 바람직한 것인지의 확신은 없다, 정당하고 바람직한 것인지의 확신은 없습니다
을 찾고자 한다,을 찾고자 합니다
가 실시되었다,가 실시되었습니다
다,니다
다,니다
 새로운 법질서가 생기는 것은 그 예이다, 새로운 법질서가 생기는 것은 그 예입니다
재하지 않는다,재하지 않습니다
한 학업 촉진 요인 중의 하나였다,한 학업 촉진 요인 중의 하나였습니다
연구들이 다양하게 진행되었다,연구들이 다양하게 진행되었습니다
tra 1959에 나와 있다,tra 1959에 나와 있습니다
,니다
결합한 유연 안정성이다,결합한 유연 안정성입니다
은 다음과 같다,은 다음과 같습니다
 이상을 차지한다고 볼 수 있다, 이상을 차지한다고 볼 수 있습니다
 있을지 문제이다, 수 있을지 문제입니다
정은 주로 두려움과 긴장감이었다,정은 주로 두려움과 긴장감이었습니다
다,습니다
여 동 변수들을 활용하였다,여 동 변수들을 활용하였습니다
기 어려웠다,기 어려웠습니다
확인하고자 하였다,확인하고자 하였습니다
의 오솔길도 마련돼 있다,의 오솔길도 마련돼 있습니다
족 척도는 3개의 문항으로 측정되었다,족 척도는 3개의 문항으로 측정되었습니다
말해 루터의 순수한 작품은 아니다,말해 루터의 순수한 작품은 아닙니다
탄력성이 달라진다,탄력성이 달라집니다
는 10단위로 낮아졌다,는 10단위로 낮아졌습니다
는 주장과 일맥상통한다,는 주장과 일맥상통합니다
 예약한 뒤 공연에 참석한다, 예약한 뒤 공연에 참석합니다
곱으로 표현된다,곱으로 표현됩니다
 항공사의 안전문화가 반영된다, 항공사의 안전문화가 반영됩니다
한계가 존재한다,한계가 존재합니다
되어 있다고 생각하게 되었다,되어 있다고 생각하게 되었습니다
는 명분으로 수시로 바뀌어서는 안 된다,는 명분으로 수시로 바뀌어서는 안 됩니다
하는 역할과 다르지 않다,하는 역할과 다르지 않습니다
과목은 60점을 만점으로 두고 있다,과목은 60점을 만점으로 두고 있습니다
높게 나타나고 있다,높게 나타나고 있습니다
민의 공동책임을 강조한 것이다,민의 공동책임을 강조한 것입니다
할 수 있다고 한다,할 수 있다고 합니다
짐에 따라 다르게 나타나는 것이 확인된다,짐에 따라 다르게 나타나는 것이 확인됩니다
 프로그램을 확정하였다, 프로그램을 확정하였습니다
인이었다,인이었습니다
이 된다는 점을 강조하고 있는 것이다,이 된다는 점을 강조하고 있는 것입니다
 순환을 겪으리라는 예상이 가능하다, 순환을 겪으리라는 예상이 가능합니다
강인함 정의감을 해석한다,강인함 정의감을 해석합니다
를 구성해 보고 놀이한다,를 구성해 보고 놀이합니다
역에서 활동하였다,역에서 활동하였습니다
다,습니다
필자는 결론을 유보한다,필자는 결론을 유보합니다
새로운 시각을 얻을 수 있는가,새로운 시각을 얻을 수 있는가
세스를 창조해 내는 것이다,세스를 창조해 내는 것입니다
 주택이 공급되어 왔다, 주택이 공급되어 왔습니다
되어 있는 느낌을 의미한다,되어 있는 느낌을 의미합니다
래량으로 가중산술평균하여 산정한다,래량으로 가중산술평균하여 산정합니다
 모든 사고에 대한 책임을 물을 수 없다, 모든 사고에 대한 책임을 물을 수 없습니다
상에 대한 합의를 할 수 있다,상에 대한 합의를 할 수 있습니다
 낮기 때문으로 판단된다, 낮기 때문으로 판단됩니다
배울 수 있다,배울 수 있습니다
덩이에 묻는 망예 절차가 이어진다,덩이에 묻는 망예 절차가 이어집니다
하고 있으며 그 유형은 150가지가 넘는다,하고 있으며 그 유형은 150가지가 넘는입니다
정은 단행하기 더욱 어려운 특성이 있다,정은 단행하기 더욱 어려운 특성이 있습니다
,니다
,
한 능력인 것이다,한 능력인 것입니다
쳐 임명할 수 있도록 하여야 한다,쳐 임명할 수 있도록 하여야 합니다
 347를 기록하였을 것으로 추정되었다, 347를 기록하였을 것으로 추정되었습니다
 사실이 아닌 것으로 밝혀지는 경우이다, 사실이 아닌 것으로 밝혀지는 경우입니다
 영향을 준다는 점을 보여주었다, 영향을 준다는 점을 보여주었습니다
을 요건으로 하지 않는다,을 요건으로 하지 않습니다
값에 의해 주로 결정된다,값에 의해 주로 결정됩니다
견해로 수용되었다,견해로 수용되었습니다
의미를 부여할 수 있다,의미를 부여할 수 있습니다
가피하다고 본다,가피하다고 봅니다
부를 검토하고 확인한다,부를 검토하고 확인합니다
현실적인 전손이 발생하여야 한다,현실적인 전손이 발생하여야 합니다
 X에 관한 개별주주통지를 하였다, X에 관한 개별주주통지를 하였습니다
태로 표현된다,태로 표현됩니다
기준에 명시하고 있다,기준에 명시하고 있습니다
 결과를 반영할 수 있는 보수약정을 한다, 결과를 반영할 수 있는 보수약정을 합니다
 뻗쳐야 하는 수동적 공동체 구조이다, 뻗쳐야 하는 수동적 공동체 구조입니다
착취가 일어나는 곳이다,착취가 일어나는 곳입니다
이한 거버넌스 구조로 이행하였다,이한 거버넌스 구조로 이행하였습니다
모하고 있다,모하고 있습니다
은 1이다,은 1입니다
제시하고 있다,제시하고 있습니다
학에 대한 지식이 있어야 한다,학에 대한 지식이 있어야 합니다
해 오해하고 있다,해 오해하고 있습니다
 있는 실효성이 강화될 필요가 있다, 있는 실효성이 강화될 필요가 있습니다
